gene_symbol,Ufc1
pvalue,0.3443024
parameter_name,Stroke Volume
parameter_id,IMPC_ECH_003_001
analysis_id,v89icr8m93tn538
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1913405
