gene_symbol,Ddx27
parameter_id,ESLIM_007_001_007
gene_accession_id,MGI:2385884
mouse_strain,129SV
parameter_name,Periphery resting time
mouse_life_stage,Early adult
analysis_id,190075b9q1n6no8
pvalue,0.3733568
