parameter_name,LVIDd
analysis_id,028g1113k0dj14j
mouse_life_stage,Early adult
gene_symbol,Col6a3
gene_accession_id,MGI:88461
mouse_strain,C57BL
parameter_id,IMPC_ECH_008_001
pvalue,0.0889386
