gene_symbol,Pglyrp3
mouse_strain,C57BL
pvalue,0.9875734
parameter_id,JAXLA_CSD_023_001
mouse_life_stage,Early adult
analysis_id,3808o9e593t4003
gene_accession_id,MGI:2685266
parameter_name,Vibrissae - presence
