analysis_id,j55558ox8i0508w
parameter_name,Glucose
gene_symbol,Atg4c
mouse_life_stage,Early adult
pvalue,0.6488608
mouse_strain,C57BL
gene_accession_id,MGI:2651854
parameter_id,IMPC_CBC_018_001
