parameter_id,JAXLA_DXA_009_001
mouse_strain,C57BL
pvalue,0.09410935
mouse_life_stage,Early adult
gene_symbol,Zfp683
analysis_id,v06uhrdv0wgjc77
parameter_name,Fat/Body weight
gene_accession_id,MGI:3650254
