parameter_name,CD8 CD44-CD62L+ T cells
pvalue,0.2550483
gene_accession_id,MGI:1913483
analysis_id,8kd7xg093389p69
gene_symbol,Dmap1
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_034_001
mouse_strain,C57BL
