analysis_id,3oid5y6v0ivro70
pvalue,0.6939373
parameter_name,Limb morphology
gene_symbol,Nipal3
parameter_id,IMPC_GEP_084_001
mouse_strain,129SV
mouse_life_stage,Early adult
gene_accession_id,MGI:1921802
