gene_symbol,Sprr1b
analysis_id,5zdd5999bnt4091
mouse_strain,C57BL
pvalue,0.9847811
parameter_name,Startle response
gene_accession_id,MGI:106659
parameter_id,HMGULA_SHI_009_001
mouse_life_stage,Early adult
