gene_symbol,Opn3
mouse_strain,C57BL
parameter_id,UCD_OWT_003_001
parameter_name,Spleen weight
pvalue,0.8271562
analysis_id,0viwk2i10a18iz9
gene_accession_id,MGI:1338022
mouse_life_stage,Early adult
