analysis_id,oltc6329frt99r9
gene_accession_id,MGI:97838
parameter_name,Total T cells - % of CD45+
mouse_life_stage,E12.5
parameter_id,MGP_MLN_001_001
gene_symbol,Eprs1
pvalue,0.07733693
mouse_strain,C57BL
