analysis_id,9c01in0q8ggr11q
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
pvalue,0.8634967
parameter_name,Red blood cell distribution width
parameter_id,IMPC_HEM_027_001
mouse_life_stage,Early adult
mouse_strain,C57BL
