analysis_id,6531949wkva60q3
gene_accession_id,MGI:2446186
parameter_name,Alpha beta T cell percentage
pvalue,0.6239721
mouse_strain,C57BL
parameter_id,MGP_PBI_002_001
gene_symbol,Lpgat1
mouse_life_stage,Middle aged adult
