analysis_id,2934fd06x0tf18f
gene_symbol,Rgs20
parameter_name,Clavicle
gene_accession_id,MGI:1929866
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.4688967
parameter_id,IMPC_XRY_007_001
