gene_symbol,Clvs1
analysis_id,1l7c5y31fogekr1
pvalue,0.3233746
parameter_name,Eosinophils - % of CD45+
gene_accession_id,MGI:1921688
parameter_id,MGP_IMM_125_001
mouse_life_stage,Early adult
mouse_strain,C57BL
