analysis_id,n89022ri4iv5b3t
mouse_strain,C57BL
gene_accession_id,MGI:88380
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
pvalue,0.1166802
gene_symbol,F2
mouse_life_stage,Early adult
parameter_id,MGP_MLN_005_001
