parameter_name,CD8 CD44+CD62L- T cells
parameter_id,IMPC_IMM_032_001
gene_accession_id,MGI:1345282
analysis_id,i58a0g6c41n71md
mouse_life_stage,Early adult
gene_symbol,Slc30a4
pvalue,0.5408383
mouse_strain,C57BL
