parameter_name,18kHz-evoked ABR Threshold
mouse_strain,C57BL
gene_accession_id,MGI:3045306
pvalue,0.7910477
mouse_life_stage,Early adult
gene_symbol,Exd1
parameter_id,IMPC_ABR_008_001
analysis_id,5oyv7352jfah6a6
