analysis_id,3w37i35s96cgqn8
gene_symbol,Tbl1xr1
gene_accession_id,MGI:2441730
parameter_name,Contact righting
mouse_life_stage,Late adult
parameter_id,JAXLA_CSD_077_001
pvalue,0.8873475
mouse_strain,C57BL
