analysis_id,05p8l89zed6p5g2
mouse_strain,C57BL
parameter_name,Lymphocyte differential count
parameter_id,IMPC_HEM_031_001
gene_symbol,Slx4ip
pvalue,0.05392019
gene_accession_id,MGI:1921493
mouse_life_stage,Early adult
