gene_symbol,Clvs1
parameter_name,18kHz-evoked ABR Threshold
pvalue,0.6189825
parameter_id,IMPC_ABR_008_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,x846h2y388x6rc3
gene_accession_id,MGI:1921688
