analysis_id,59uul3zx87ys9f7
parameter_name,Femur
mouse_life_stage,E12.5
parameter_id,IMPC_XRY_024_001
gene_symbol,Mecom
gene_accession_id,MGI:95457
mouse_strain,C57BL
pvalue,0.3320467
