parameter_name,Periphery distance travelled
pvalue,0.9975226
mouse_life_stage,Middle aged adult
analysis_id,7qie6w6s00rj544
parameter_id,ESLIM_007_001_006
gene_accession_id,MGI:1345282
mouse_strain,C57BL
gene_symbol,Slc30a4
