parameter_name,Contact righting
pvalue,0.8557778
analysis_id,g5wv1k462fy603u
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:3045306
parameter_id,JAXLA_CSD_077_001
gene_symbol,Exd1
