parameter_id,IMPC_ECG_008_001
gene_symbol,Ppm1j
mouse_life_stage,Early adult
parameter_name,ST
gene_accession_id,MGI:1919137
pvalue,0.08472072
mouse_strain,C57BL
analysis_id,78m46967733m6lg
