analysis_id,658s4f6h222p9ux
pvalue,0.1637169
parameter_name,Total CD8+ T cells - % of ab T cells
parameter_id,MGP_IMM_013_001
gene_symbol,Alkbh3
mouse_strain,C57BL
gene_accession_id,MGI:1916363
mouse_life_stage,Early adult
