gene_symbol,Cldn19
mouse_strain,C57BL
parameter_name,Hindlimbs - shape
parameter_id,JAXLA_CSD_021_001
gene_accession_id,MGI:3033992
pvalue,0.5071055
mouse_life_stage,Early adult
analysis_id,5gdk03680luy47g
