analysis_id,sx211041j437lk2
gene_accession_id,MGI:1914515
parameter_id,IMPC_HEM_038_001
mouse_life_stage,E9.5
gene_symbol,Slc39a10
mouse_strain,C57BL
pvalue,0.8313476
parameter_name,Basophil differential count
