gene_symbol,Mms22l
analysis_id,15j1xr0p62390g1
parameter_id,MGP_IMM_048_001
gene_accession_id,MGI:2684980
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.5563798
parameter_name,Follicular B cells - % of B2 cells
