gene_symbol,Exd1
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_024_001
mouse_strain,C57BL
gene_accession_id,MGI:3045306
parameter_name,Retinal Blood Vessels
pvalue,0.3329943
analysis_id,2y7z2031t8c796z
