gene_symbol,Inpp1
mouse_strain,129SV
gene_accession_id,MGI:104848
analysis_id,58xwcy517k28g23
mouse_life_stage,Early adult
pvalue,0.117275
parameter_id,IMPC_LDT_006_001
parameter_name,Latency to first transition into dark
