analysis_id,a503mahw0u8b026
gene_accession_id,MGI:2684980
parameter_id,MGP_PBI_003_001
gene_symbol,Mms22l
pvalue,0.1268557
parameter_name,CD4+ alpha beta T cell percentage
mouse_strain,129SV
mouse_life_stage,Early adult
