analysis_id,l15687295e781ie
gene_accession_id,MGI:1924315
parameter_name,Fusion of vertebrae
gene_symbol,Ints7
parameter_id,M-G-P_006_001_026
pvalue,0.09985595
mouse_strain,C57BL
mouse_life_stage,Early adult
