gene_symbol,Ahcy
gene_accession_id,MGI:87968
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Vocalization
pvalue,0.289657
parameter_id,IMPC_CSD_078_001
analysis_id,2e87y781696ro2t
