gene_symbol,Tiprl
parameter_id,ESLIM_008_001_013
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_accession_id,MGI:1915087
parameter_name,Startle response
pvalue,0.1824933
analysis_id,n2kdd9uo1q8l4sw
