gene_symbol,C8b
mouse_strain,C57BL
parameter_name,HRV
pvalue,0.875589
gene_accession_id,MGI:88236
analysis_id,bzs856q2m09b8wo
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_010_001
