analysis_id,cdzr259n50yof62
mouse_life_stage,Early adult
parameter_name,Neutrophil cell count
mouse_strain,C57BL
parameter_id,IMPC_HEM_030_001
gene_accession_id,MGI:1914944
pvalue,0.6777841
gene_symbol,Ift74
