analysis_id,m060s6zdxvrjo8p
mouse_strain,C57BL
parameter_id,IMPC_DXA_007_001
parameter_name,BMC/Body weight
gene_accession_id,MGI:1914071
mouse_life_stage,E9.5
pvalue,0.7527902
gene_symbol,Bcs1l
