analysis_id,g86q1wm92454h08
gene_symbol,Dcaf12
mouse_strain,C57BL
parameter_id,IMPC_GEL_029_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1916220
parameter_name,Midbrain
pvalue,0.9379348
