parameter_name,Light side time spent
gene_symbol,Bach2
gene_accession_id,MGI:894679
analysis_id,im0lsqu04d2b713
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAX_LDT_002_001
pvalue,0.6441152
