analysis_id,2xec304d817do89
parameter_name,Total CD8+ T cells - % of ab T cells
pvalue,0.4922049
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2673000
parameter_id,MGP_IMM_013_001
gene_symbol,Trim46
