parameter_name,Right kidney weight
gene_accession_id,MGI:2140475
pvalue,0.9634838
analysis_id,v6z40a3i78x0270
mouse_strain,C57BL
parameter_id,IMPC_OWT_004_001
mouse_life_stage,Early adult
gene_symbol,AU040320
