gene_symbol,Sgip1
mouse_life_stage,Early adult
gene_accession_id,MGI:1920344
analysis_id,jm6g6ugb8hja10t
parameter_id,IMPC_IMM_004_001
mouse_strain,C58BL
pvalue,0.1839783
parameter_name,NKT cells (panel A)
