analysis_id,wldm6bv9fns9ayv
mouse_strain,C57BL
gene_symbol,Slc2a8
gene_accession_id,MGI:1860103
mouse_life_stage,Early adult
parameter_name,PQ
parameter_id,IMPC_ECG_005_001
pvalue,0.252468
