parameter_id,IMPC_GPP_004_001
mouse_strain,C57BL
gene_accession_id,MGI:1345282
gene_symbol,Slc30a4
pvalue,0.3118252
parameter_name,Placenta Size
analysis_id,091opc60ia57n46
mouse_life_stage,Late adult
