analysis_id,02s1tuv6u3vp0wh
mouse_life_stage,Early adult
parameter_id,MGP_IMM_013_001
parameter_name,Total CD8+ T cells - % of ab T cells
mouse_strain,C57BL
gene_symbol,Tbl1xr1
gene_accession_id,MGI:2441730
pvalue,0.582445
