analysis_id,ykas4p8xz3c81jd
gene_symbol,Slc2a8
mouse_life_stage,Early adult
pvalue,0.9810462
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
parameter_id,MGP_PBI_030_001
gene_accession_id,MGI:1860103
mouse_strain,C57BL
