parameter_name,Body length
pvalue,0.9899604
gene_accession_id,MGI:99605
parameter_id,IMPC_DXA_006_001
analysis_id,205li4y22q3mc61
mouse_strain,C57BL
gene_symbol,Cntfr
mouse_life_stage,Early adult
