analysis_id,7i4freh654t61x7
parameter_name,CD4+ KLRG1+ alpha beta T cell number
mouse_life_stage,E12.5
parameter_id,MGP_PBI_032_001
mouse_strain,C57BL
gene_accession_id,MGI:1914071
pvalue,0.2092237
gene_symbol,Bcs1l
