analysis_id,z6x7sx0w21j5246
parameter_id,IMPC_GEL_028_001
gene_accession_id,MGI:3033992
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Forebrain
pvalue,0.8817301
gene_symbol,Cldn19
