gene_symbol,Abo
parameter_name,Corneal opacity
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,h38153oojnu5208
parameter_id,IMPC_EYE_008_001
pvalue,0.6794957
gene_accession_id,MGI:2135738
