gene_symbol,Fpgs
parameter_id,IMPC_GRS_009_001
mouse_strain,C57BL
analysis_id,oj9x1nilli79888
gene_accession_id,MGI:95576
mouse_life_stage,Early adult
parameter_name,Forelimb and hindlimb grip strength measurement mean
pvalue,0.1208617
