parameter_id,IMPC_ACS_034_001
pvalue,0.7806228
mouse_life_stage,Early adult
gene_accession_id,MGI:1922745
mouse_strain,C57BL
parameter_name,% Pre-pulse inhibition - PPI2
analysis_id,93093vr17982657
gene_symbol,Morn5
