gene_symbol,Dcaf12
parameter_name,Center permanence time
pvalue,0.5213025
parameter_id,IMPC_OFD_016_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,fvb54s516v62oqx
gene_accession_id,MGI:1916220
