parameter_name,B cell percentage
gene_accession_id,MGI:1922745
mouse_strain,C57BL
analysis_id,1b8sy5tk29j4se5
mouse_life_stage,Early adult
gene_symbol,Morn5
parameter_id,MGP_PBI_014_001
pvalue,0.6713525
