analysis_id,k73qx81gzq0u930
parameter_id,JAXLA_ECG_002_001
mouse_life_stage,E12.5
parameter_name,HR
pvalue,0.2315389
mouse_strain,C57BL
gene_symbol,Bmi1
gene_accession_id,MGI:88174
