gene_symbol,Cisd2
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1914256
analysis_id,38g1x2oh6o2786o
parameter_name,Eosinophils
pvalue,0.3726999
parameter_id,IMPC_IMM_052_001
