parameter_id,IMPC_EYE_016_001
gene_accession_id,MGI:1915033
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Lens
analysis_id,40vo10oh98xp9l7
pvalue,0.06282841
gene_symbol,Ahctf1
