parameter_id,IMPC_EYE_004_001
analysis_id,20a4ot1rp76j758
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.4007811
parameter_name,Eyelid morphology
gene_accession_id,MGI:1913483
gene_symbol,Dmap1
