analysis_id,at29cc51fxgb704
gene_accession_id,MGI:1914309
gene_symbol,Ola1
parameter_id,MGP_IMM_081_001
pvalue,0.6415982
mouse_strain,C57BL
parameter_name,Effector CD8+ T cells - % of CD45+
mouse_life_stage,Early adult
