parameter_name,DN NKT cells
gene_symbol,Gpbp1l1
mouse_strain,C57BL
pvalue,0.9333265
mouse_life_stage,Early adult
gene_accession_id,MGI:1924360
analysis_id,z8a7ea5bv94n516
parameter_id,IMPC_IMM_013_001
