analysis_id,9q0w1fy3606pmh1
mouse_life_stage,Early adult
gene_accession_id,MGI:1927379
pvalue,0.6501227
parameter_name,Number of centre entries
parameter_id,ESLIM_007_001_015
mouse_strain,C57BL
gene_symbol,Rhbg
