analysis_id,2cb87i8wo692673
mouse_strain,C57BL
parameter_id,MGP_MLN_013_001
mouse_life_stage,Middle aged adult
pvalue,0.4334725
gene_symbol,Secisbp2l
parameter_name,Effector CD8+ T cells - % of CD8+
gene_accession_id,MGI:1917604
