parameter_name,Periphery resting time
gene_accession_id,MGI:1913405
pvalue,0.2513967
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_011_001
mouse_strain,C57BL
analysis_id,b9t49zq8i1066c8
gene_symbol,Ufc1
